M_ac_e,M_co2_e,M_etoh_e,M_for_e,M_glc__D_e,M_h2o_e,M_h_e,M_nh4_e,M_o2_e,M_pi_e,objective
0.000000000000000000e+00,4.967145578934000000e+12,6.044401648824000000e+12,2.422319005260000000e+12,-4.067865096757000000e+12,-2.335520949300000000e+11,4.745736409260000000e+12,-6.315618355200000000e+11,0.000000000000000000e+00,-4.260795415800000000e+11,1.158234000000000000e+11
3.801024953040000000e+11,1.572036261180000000e+11,7.527573354000000000e+11,1.244668791660000000e+12,-7.755627698210000000e+11,-4.268129142900000000e+11,2.089454767764000000e+12,-1.263123671040000000e+11,0.000000000000000000e+00,-8.521590831600000000e+10,2.316468000000000000e+10
0.000000000000000000e+00,5.805778927691336411e+23,1.235339941231988012e+24,1.631315406945841586e+24,-9.896781403998876357e+23,-4.398536914394544708e+23,2.223136509835496579e+24,-1.608714910187791413e+23,-1.267877598430311009e+23,-1.085310214955221008e+23,2.950254750197681331e+22
7.844439906640000000e+11,1.995061252618000000e+12,0.000000000000000000e+00,0.000000000000000000e+00,-1.333366967081000000e+12,2.754432854650000000e+12,2.875624367464000000e+12,-5.684341155840000000e+11,-1.874542128310000000e+12,-3.834907902360000000e+11,1.042462800000000000e+11
0.000000000000000000e+00,2.026438190684602460e+29,0.000000000000000000e+00,0.000000000000000000e+00,-9.653563023933490012e+28,2.671028486620539088e+29,1.775092160847137320e+29,-4.825135859754371721e+28,-1.924135895213248079e+29,-3.255250016006163560e+28,8.848914062049537380e+27
0.000000000000000000e+00,1.908460608878848512e+18,1.335812413933930752e+18,0.000000000000000000e+00,-1.113088170078630272e+18,9.318474157574309120e+17,9.891736271345639680e+17,-2.688816527437363200e+17,-5.156400378995402880e+17,-1.813994527487497600e+17,4.931074910940000000e+16
0.000000000000000000e+00,5.125602772440035229e+27,6.004486711075120015e+27,2.280032025446102752e+27,-4.091508739420733975e+27,0.000000000000000000e+00,4.700329072425924373e+27,-6.578960985927999956e+26,-1.216452637184062948e+26,-4.438457999364241738e+26,1.206528936679871008e+26
3.173727173540000000e+11,1.572036261180000000e+11,0.000000000000000000e+00,4.291816783100000000e+11,-3.678192131460000000e+11,3.259444211100000000e+11,1.211237876464000000e+12,-1.263123671040000000e+11,-3.450137787250000000e+11,-8.521590831600000000e+10,2.316468000000000000e+10
4.926226797430545920e+17,2.247728886960387520e+17,4.660418521915001600e+17,1.118531220488662656e+18,-7.783546039441429760e+17,0.000000000000000000e+00,2.275567634749173248e+18,-1.806039487326412800e+17,-2.797050855088085440e+17,-1.218434100283831200e+17,3.312132275760000000e+16
0.000000000000000000e+00,4.966556402261575696e+28,0.000000000000000000e+00,3.399082828614275674e+28,-3.458858097218462085e+28,7.086977337907425031e+28,9.238361831559711823e+28,-1.587259249614201221e+28,-6.329567883602351905e+28,-1.070835277574046664e+28,2.910906781129330572e+27
0.000000000000000000e+00,2.989145513661073720e+35,4.154473994000322345e+35,6.195625048421885441e+35,-4.050262193896223763e+35,0.000000000000000000e+00,9.404741697096495584e+35,-8.723166132548812275e+34,-1.747535900425396281e+35,-5.885033606918888454e+34,1.599759047195718161e+34
