M_ac_e,M_acald_e,M_akg_e,M_co2_e,M_etoh_e,M_for_e,M_fru_e,M_fum_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_h2o_e,M_h_e,M_lac__D_e,M_mal__L_e,M_nh4_e,M_o2_e,M_pi_e,M_pyr_e,M_succ_e,objective
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.660834292307367122e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.949332946723329130e+00,0.000000000000000000e+00,3.867211545141248763e+00,1.440816955264993915e+01,1.325294865637921582e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.349474301006091892e+00,-6.296549505713069372e+00,-1.000000000000000000e+00,0.000000000000000000e+00,3.275613667871802442e-02,2.718351591594856953e-01
0.000000000000000000e+00,1.287929987761168849e-01,3.691618009735448069e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.131437298720905815e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.902532410093646043e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.363392052852253400e+00,1.796768661093108577e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.482262755864843573e+00,-5.878671532203560979e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.718351591594856953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.916764074265365636e+01,0.000000000000000000e+00,1.312066762715089485e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.091451949252259013e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.046426726832848431e+01,6.323618591971542457e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.482262755864843573e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.883239809094051154e+01,1.881935388666027364e+01,2.718351591594856953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.844768532361975799e+00,0.000000000000000000e+00,4.478356258098422416e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.992473564030771804e+00,0.000000000000000000e+00,3.166289495383332930e+00,1.090156622357535809e+01,1.700801120866972838e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.648552251248176503e+00,-5.724854115131250865e+00,-1.000000000000000000e+00,7.440626670653582853e-01,0.000000000000000000e+00,2.718351591594856953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.142857142857142794e+00,0.000000000000000000e+00,7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.428571428571428492e-01,5.714285714285713969e-01,3.857142857142857206e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.428571428571428603e+00,0.000000000000000000e+00
3.695715489555704836e-01,0.000000000000000000e+00,4.660912822464457150e+00,-1.455015164518521686e+01,0.000000000000000000e+00,6.342551134135117508e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.077474185368278370e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.081629379944001990e+01,6.327802523406948865e+01,1.366213608068067487e+01,0.000000000000000000e+00,-1.482262755864843573e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.406446376631496342e+01,2.718351591594856953e-01
4.205638418811550455e-02,0.000000000000000000e+00,3.689537064723951598e+00,0.000000000000000000e+00,8.708343875658415556e-02,5.130743650383740473e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.900798289250731798e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.272146724072676705e+00,1.800488745675904312e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.482262755864843573e+00,-5.853556823654955998e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.718351591594856953e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.689537064723951598e+00,0.000000000000000000e+00,1.979322405559934966e-02,5.021397051494639996e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.900798289250731798e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.339436938773660657e+00,1.796283107257092482e+01,1.093465988891003104e-01,0.000000000000000000e+00,-1.482262755864843573e+00,-5.866173738911390600e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.718351591594856953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.916087204719058690e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.336704950118248370e+01,2.902042297550765326e+01,7.936227471661184696e-01,0.000000000000000000e+00,-1.482262755864843573e+00,-5.379178106396281578e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.138689346780112466e+01,2.718351591594856953e-01
