cpd00001__91__e0__93___in,cpd00001__91__e0__93___out,cpd00007__91__e0__93___in,cpd00009__91__e0__93___in,cpd00011__91__e0__93___in,cpd00011__91__e0__93___out,cpd00013__91__e0__93___out,cpd00035__91__e0__93___out,cpd00041__91__e0__93___out,cpd00048__91__e0__93___in,cpd00067__91__e0__93___in,cpd00130__91__e0__93___in,cpd00155__91__c0__93___out,cpd00214__91__c0__93___out,cpd00227__91__e0__93___in,cpd00421__91__c0__93___out,cpd00528__91__e0__93___in,cpd11640__91__e0__93___out,cpd12836__91__c0__93___out,cpdPG6__91__c0__93___out,objective_out
-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+02,-3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+02,-4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,-2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000000e+01,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.452500000000000000e+04,-1.560000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.825000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.490000000000000000e+04,-4.745000000000000000e+04,1.025000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.085500000000000000e+04,-6.240000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.755000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.262000000000000000e+04,-1.131000000000000000e+04,3.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.780000000000000000e+05,-7.990000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.142400000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.072700000000000000e+06,-5.712000000000000000e+05,0.000000000000000000e+00,6.970000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.944000000000000000e+04,-5.644000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.833600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.296400000000000000e+04,-3.889600000000000000e+04,0.000000000000000000e+00,4.828000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+04,-4.800000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.160000000000000000e+04,0.000000000000000000e+00,2.400000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.400000000000000000e+04,-1.200000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.200000000000000000e+03,1.200000000000000000e+03,4.800000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+03
0.000000000000000000e+00,1.295000000000000000e+05,-1.295000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.952600000000000000e+05,0.000000000000000000e+00,5.254000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-2.264400000000000000e+05,-1.132200000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.627000000000000000e+04,2.627000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.627000000000000000e+04
