M_pime_e,M_arg__L_e,M_pi_e,M_ala__L_e,M_val__L_e,M_his__L_e,M_ile__L_e,M_leu__L_e,M_met__L_e,M_o2_e,M_thm_e,objective
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.133684957483520000e+16,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.766782320000000000e+12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.820595752000000000e+12,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.811173920000000000e+09,0.000000000000000000e+00,-1.667526336000000000e+10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.739715280000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.355117712573600000e+15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.888997068052000000e+14,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.731862576896000000e+12,0.000000000000000000e+00,-6.655048807680000000e+12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.843160518016000000e+12,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.973935813120000000e+11,0.000000000000000000e+00,-9.409061975040000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.555828271360000000e+11,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.766782320000000000e+12,0.000000000000000000e+00,-5.660066256000000000e+12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.820595752000000000e+12,0.000000000000000000e+00,0.000000000000000000e+00
-1.519109349957752611e+111,-1.476746317590220153e+117,-2.346069438643171253e+116,0.000000000000000000e+00,-1.017952643557773452e+116,-2.278664024936629115e+115,-6.987903009805662679e+115,-1.083631336303196877e+116,-7.505615476271264943e+115,-4.460599998002230608e+117,-1.519109349957752611e+111,2.531848916596254553e+116
-6.277409617034471128e+114,-5.576432209798955404e+119,-9.694653552608888971e+119,0.000000000000000000e+00,-4.206481722025437792e+119,-9.416114425551706829e+118,-2.887608423835856976e+119,-4.477885526817923209e+119,-3.101542543584391820e+119,-1.784201311167851028e+121,-6.277409617034471128e+114,1.046234936172411894e+120
-7.634064924581553382e+118,-1.862977761526105279e+124,-1.178983357101755435e+124,0.000000000000000000e+00,-5.115574182520557636e+123,-1.145109738687232935e+123,-3.511669865307514235e+123,-5.445632979534840838e+123,-3.771838797937253865e+123,-2.163223576532338588e+125,-7.634064924581553382e+118,1.272344154096925555e+124
-1.262086786128660202e+118,-3.508097202247431597e+123,-1.949131073371495955e+123,0.000000000000000000e+00,-8.457222519068383533e+122,-1.893130179192990492e+122,-5.805599216191837265e+122,-9.002885741051109526e+122,-6.235718392904484723e+122,-3.576306880220952137e+124,-1.262086786128660202e+118,2.103477976881100384e+123
-3.954566992503200536e+64,-6.605244387228205251e+70,-6.107321217157154910e+69,0.000000000000000000e+00,-2.649948750731406856e+69,-5.931850488754800512e+68,-1.819100816551472068e+69,-2.820924454652282855e+69,-1.953872459655981050e+69,-1.210532871874442826e+71,-3.954566992503200536e+64,6.590944987505333945e+69
-3.203395808538199391e+53,-5.436174156053772591e+59,-4.947233723825152816e+58,0.000000000000000000e+00,-2.146590192308433127e+58,-4.805093712807298636e+57,-1.473562071927571768e+58,-2.285089010090582173e+58,-1.582733801082553347e+58,-9.843295474729423592e+59,-3.203395808538199391e+53,5.338993014230332127e+58
-2.730669186106757070e+67,-4.137892168116989931e+73,-4.217168122063002697e+72,0.000000000000000000e+00,-1.829816870494827786e+72,-4.096003779160135451e+71,-1.256107825609108310e+72,-1.947877352756153508e+72,-1.349169031471626507e+72,-8.264950259563639526e+73,-2.730669186106757070e+67,4.551115310177928061e+72
-2.121374733892756844e+55,-1.418900908052211983e+62,-3.276191033406513621e+60,0.000000000000000000e+00,-1.421529673556979932e+60,-3.182062100839135569e+59,-9.758323775906681044e+59,-1.513247310176833207e+60,-1.048128828521733371e+60,-1.181744130355866210e+62,-2.121374733892756844e+55,3.535624556487928033e+60
-1.297882518336490546e+105,-2.167453519422284119e+111,-2.004412987980856308e+110,-6.699747522173981737e+111,-8.697089123997516901e+109,-1.946823777504735782e+109,-5.970259584347856510e+109,-9.258228630800298924e+109,-6.412577946596932165e+109,-4.023034344901212570e+111,-1.297882518336490546e+105,2.163137530560817443e+110
-5.300544232142739146e+93,-8.993519969692559097e+99,-8.186010330034668834e+98,-2.738000354460902109e+100,-3.551885855718463037e+98,-7.950816348214109053e+97,-2.438250346785660110e+98,-3.781054885595154285e+98,-2.618892894217084534e+98,-1.648959621749691942e+100,-5.300544232142739146e+93,8.834240386904566019e+98
-6.364800950964979680e+76,-1.057095250969529860e+83,-9.829618252643369916e+81,-1.103585689146283012e+84,-4.265042509240047346e+81,-9.547201426447468130e+80,-2.927808437443890283e+81,-4.540224678355018252e+81,-3.144720853852777082e+81,-2.746175820058367479e+83,-6.364800950964979680e+76,1.060800158494163275e+82
-6.907959925932976080e+105,-6.715767543450140838e+111,-1.066845758407965342e+111,-3.701665424061424427e+112,-4.629012433101144151e+110,-1.036193988889946363e+110,-3.177661565929169093e+110,-4.927678080498856255e+110,-3.413084840204964915e+110,-2.034355869053296859e+112,-6.907959925932976080e+105,1.151326654322162722e+111
-1.519109349957752611e+111,-1.476746317590220153e+117,-2.346069438643171253e+116,-7.420074148811080543e+117,-1.017952643557773452e+116,-2.278664024936629115e+115,-6.987903009805662679e+115,-1.083631336303196877e+116,-7.505615476271264943e+115,-4.460599998002230608e+117,-1.519109349957752611e+111,2.531848916596254553e+116
-4.106829592890728185e+132,-3.648233621684596773e+137,-6.342471263088642203e+137,-2.849637977472339917e+139,-2.751979665480088740e+137,-6.160244389336092560e+136,-1.889141612729734762e+137,-2.929538442928719256e+137,-2.029102365255451051e+137,-1.184513928218850223e+139,-4.106829592890728185e+132,6.844715988151213818e+137
-4.453254746121132388e+133,-3.955974632804272466e+138,-6.877480454358337644e+138,-3.151297300111314712e+140,-2.984118583284527707e+138,-6.679882119181698951e+137,-2.048497183215721023e+138,-3.176655052233074352e+138,-2.200264104963529222e+138,-1.289622859900986514e+140,-4.453254746121132388e+133,7.422091243535221461e+138
-5.022723219940840597e+86,-4.461852460380780168e+91,-7.756951430385402561e+91,-1.002165623394476932e+94,-3.365718458476991071e+91,-7.534084829911261166e+90,-2.310452681172786818e+91,-3.582875896891133470e+91,-2.481627088508370644e+91,-2.101030579289582306e+93,-5.022723219940840597e+86,8.371205366568068002e+91
