M_ac_e,M_co2_e,M_etoh_e,M_for_e,M_glc__D_e,M_h2o_e,M_h_e,M_nh4_e,M_o2_e,M_pi_e,objective
0.000000000000000000e+00,9.288655200000000000e+07,6.501523200000000000e+07,0.000000000000000000e+00,-5.417503600000000000e+07,4.535388000000000000e+07,4.814400000000000000e+07,-1.308672000000000000e+07,-2.509668000000000000e+07,-8.828880000000000000e+06,2.400000000000000000e+06
5.201218560000000000e+08,1.322815872000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00,-8.840826240000000000e+08,1.826313600000000000e+09,1.906669056000000000e+09,-3.768975360000000000e+08,-1.242906240000000000e+09,-2.542717440000000000e+08,6.912000000000000000e+07
0.000000000000000000e+00,7.810305900067132211e+19,0.000000000000000000e+00,0.000000000000000000e+00,-3.720679988617159475e+19,1.029468830788863590e+20,6.841567061240371610e+19,-1.859705726397382656e+19,-7.416011997798937395e+19,-1.254639718254484275e+19,3.410551874995200000e+18
3.156645120000000000e+08,1.563575040000000000e+08,0.000000000000000000e+00,4.268716800000000000e+08,-3.658394880000000000e+08,3.241900800000000000e+08,1.204718592000000000e+09,-1.256325120000000000e+08,-3.431568000000000000e+08,-8.475724800000000000e+07,2.304000000000000000e+07
0.000000000000000000e+00,4.655236192326573261e+19,0.000000000000000000e+00,3.186017055454266163e+19,-3.242045412181583053e+19,6.642742118583776051e+19,8.659270704446562304e+19,-1.487764581117906125e+19,-5.932809598239150080e+19,-1.003711774603587379e+19,2.728441499996160000e+18
0.000000000000000000e+00,1.019573280000000000e+08,1.194398880000000000e+08,4.535388000000000000e+07,-8.138736400000000000e+07,0.000000000000000000e+00,9.349788000000000000e+07,-1.308672000000000000e+07,-2.419740000000000000e+06,-8.828880000000000000e+06,2.400000000000000000e+06
1.713401760000000000e+08,7.817875200000000000e+07,1.620950400000000000e+08,3.890388000000000000e+08,-2.707212240000000000e+08,0.000000000000000000e+00,7.914701760000000000e+08,-6.281625600000000000e+07,-9.728484000000000000e+07,-4.237862400000000000e+07,1.152000000000000000e+07
0.000000000000000000e+00,1.384017499889280000e+14,1.923581399518080000e+14,2.868663787219200000e+14,-1.875329832513440000e+14,0.000000000000000000e+00,4.354531096339200000e+14,-4.038951776256000000e+13,-8.091343351536000000e+13,-2.724855468624000000e+13,7.407115200000000000e+12
0.000000000000000000e+00,5.146261200000000000e+07,6.262363200000000000e+07,2.509668000000000000e+07,-4.214552600000000000e+07,-2.419740000000000000e+06,4.916868000000000000e+07,-6.543360000000000000e+06,0.000000000000000000e+00,-4.414440000000000000e+06,1.200000000000000000e+06
8.663798400000000000e+07,3.583192800000000000e+07,1.715784000000000000e+08,2.837013600000000000e+08,-1.767765160000000000e+08,-9.728484000000000000e+07,4.762561440000000000e+08,-2.879078400000000000e+07,0.000000000000000000e+00,-1.942353600000000000e+07,5.280000000000000000e+06
0.000000000000000000e+00,6.802316836804800000e+13,1.447380926156160000e+14,1.911323940682560000e+14,-1.159552294585360000e+14,-5.153527559822400000e+13,2.604728684938560000e+14,-1.884844162252800000e+13,-1.485503537462400000e+13,-1.271599218691200000e+13,3.456653760000000000e+12
