M_ac_e,M_acald_e,M_akg_e,M_co2_e,M_etoh_e,M_for_e,M_fru_e,M_fum_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_h2o_e,M_h_e,M_lac__D_e,M_mal__L_c,M_mal__L_e,M_nh4_e,M_o2_e,M_pep_c,M_pi_e,M_pyr_e,M_succ_e,objective
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.227850000000000108e+00,1.302614999999999945e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.225871770833333230e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.371081875000000139e+01,2.148336875000000035e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,4.585650000000000226e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.825974999999999682e+00,0.000000000000000000e+00,1.075116111111111117e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.966551388888889029e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120428055555555602e+01,2.625337222222222167e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-1.099155833333333376e+01,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,2.736105555555555569e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.103079411764705142e+00,0.000000000000000000e+00,2.556648823529411629e+01,3.652182745098038907e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.490799183006535955e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.718129411764706127e+00,6.275798627450980405e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-2.194549019607843210e-01,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.625000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.375000000000000000e-01,8.750000000000000000e-01,3.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.375000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.211594999999999978e+00,9.853794999999999860e+00,2.647703500000000076e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.227899500000000010e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.650703500000000190e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-9.018267500000000325e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,-5.333333333333333259e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.666666666666666963e-01,0.000000000000000000e+00,2.666666666666666630e-01,1.000000000000000000e+00,2.533333333333333215e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.666666666666666630e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.556600000000000428e+00,-1.786699999999999955e+00,5.430425999999999931e+01,8.353423999999999694e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.915465999999999980e+01,0.000000000000000000e+00,1.784667999999999921e+01,0.000000000000000000e+00,1.524008000000000038e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.329947999999999908e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.678700000000000081e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.124110999999999905e+01,2.589153500000000108e+01,9.448724999999999596e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.796392583333333448e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.149517499999999970e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,1.008224999999999927e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.413349999999999884e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.115455833333333402e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.805428333333333413e+01,2.685543333333333393e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-7.834666666666666224e+00,0.000000000000000000e+00,-1.839350000000000041e+00,1.441208333333333336e+01,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,3.008263333333333378e+01,0.000000000000000000e+00,3.393174999999999830e+00,8.043599999999999639e+00,4.053958333333333286e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.357716250000000002e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.008224999999999927e+00,5.056958333333333400e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
