M_co2_e,M_glc__D_e,M_h2o_e,M_nh4_e,M_o2_e,M_pi_e,objective
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.316485636363636331e+02,-7.356956363636363960e+01,-2.181119999999999948e+01,0.000000000000000000e+00,-1.471480000000000032e+01,4.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.279054722222222296e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-1.798186111111111174e+01,-3.678700000000000081e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.786699999999999955e+00,-2.242847499999999883e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-8.802075000000000315e+00,-3.678700000000000081e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.786699999999999955e+00,-1.945055416666666659e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-1.132185416666666633e+01,-3.678700000000000081e+00,1.000000000000000000e+00
0.000000000000000000e+00,-1.158379333333333392e+02,0.000000000000000000e+00,-1.817599999999999838e+01,0.000000000000000000e+00,-1.226233333333333420e+01,3.333333333333333481e+00
0.000000000000000000e+00,-7.601551666666667018e+01,0.000000000000000000e+00,-2.181119999999999948e+01,-4.707411666666666861e+01,-1.471480000000000032e+01,4.000000000000000000e+00
0.000000000000000000e+00,-7.854710000000000036e+02,0.000000000000000000e+00,-3.926016000000000190e+02,-1.565590799999999945e+03,-2.648663999999999987e+02,7.200000000000000000e+01
-1.786699999999999955e+00,-3.283092727272727274e+01,-1.920452727272727245e+01,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00
0.000000000000000000e+00,-9.179838333333333367e+01,0.000000000000000000e+00,-2.181119999999999948e+01,-3.371938333333333304e+01,-1.471480000000000032e+01,4.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
