M_co2_e,M_glc__D_e,M_h2o_e,M_nh4_e,M_o2_e,M_pi_e,objective,virtual_tag_R_PDH
0.000000000000000000e+00,-2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.000000000000000000e+00,-1.837517617547840842e+01,-1.074860204439876377e+01,-3.051883360385067245e+00,0.000000000000000000e+00,-2.058935467621872739e+00,5.596910505401018199e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.475137999999999749e+01,0.000000000000000000e+00,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00,4.224996000000000151e+01
0.000000000000000000e+00,-1.279054722222222296e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-1.798186111111111174e+01,-3.678700000000000081e+00,1.000000000000000000e+00,1.235161111111111154e+01
0.000000000000000000e+00,-1.102423141025641051e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-2.243378846153846240e+01,-3.678700000000000081e+00,1.000000000000000000e+00,1.326193076923076930e+01
0.000000000000000000e+00,-2.045796666666666486e+00,0.000000000000000000e+00,-4.544000000000000261e-01,-8.733916666666666773e-01,-3.065583333333333216e-01,8.333333333333332871e-02,3.466076666666666473e+00
0.000000000000000000e+00,-3.540704000000000207e+01,0.000000000000000000e+00,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00,5.667448000000000263e+01
0.000000000000000000e+00,-5.507903000000000020e+02,0.000000000000000000e+00,-1.308671999999999969e+02,-2.023163000000000125e+02,-8.828879999999999484e+01,2.400000000000000000e+01,4.288080000000000069e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.090931944444444390e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-2.174431666666666629e+01,-3.678700000000000081e+00,1.000000000000000000e+00,9.341646666666667542e+00
0.000000000000000000e+00,-3.314636000000000138e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-1.883899999999999908e+00,-3.678700000000000081e+00,1.000000000000000000e+00,5.592092000000000240e+01
0.000000000000000000e+00,-1.063630109512882171e+01,0.000000000000000000e+00,-3.051883360385067245e+00,-6.586740452603495832e+00,-2.058935467621872739e+00,5.596910505401018199e-01,1.000000000000000000e+00
-1.000000000000000000e+00,-1.088630109512882171e+01,0.000000000000000000e+00,-3.051883360385067245e+00,-6.336740452603495832e+00,-2.058935467621872739e+00,5.596910505401018199e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.188240763888888907e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-2.174431666666666629e+01,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
