M_glc__D_e,M_o2_e,objective
-2.040906610000000000e+11,-1.224543966000000000e+12,0.000000000000000000e+00
-1.502122877824228864e+27,0.000000000000000000e+00,0.000000000000000000e+00
-1.047916926315639452e+172,-6.243628605298892485e+171,5.683355098590161472e+170
-7.130449577137311145e+152,-1.312050477362530747e+153,6.823433552416274361e+151
-1.510767715444221692e+151,-2.780725813178864724e+151,1.445764543007709784e+150
-9.459778472277530083e+130,-1.293760992775428347e+131,7.855879471724562564e+129
-3.301696037128085600e+129,-4.532131538499430139e+129,2.747171436826343063e+128
-2.474991229070029204e+170,-4.413790403028452013e+170,2.331488603161653444e+169
-1.552468796982312473e+136,-2.150740038756186171e+136,1.297181308616820692e+135
-3.115472489412568024e+177,0.000000000000000000e+00,9.186988843281507683e+175
-1.570456259792488119e+251,-1.033201721388615665e+250,5.120880502837176510e+249
-2.688692384495352012e+183,-1.270061558689796752e+181,7.992156479404183213e+181
